"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Max Scherzer","WSN","12.69","1.72","7.36","0.94","35.1%","4.8%","30.3%",".221","1.03",".321","78.7%","66","54","65","2.92","2.45","0.48","2.88","2.93","3137"
"Gerrit Cole","HOU","13.82","2.03","6.79","1.23","39.9%","5.9%","34.0%",".185","0.89",".275","83.3%","55","58","55","2.50","2.64","-0.14","2.48","2.62","13125"
"Jacob deGrom","NYM","11.25","1.94","5.80","0.84","31.7%","5.5%","26.2%",".205","0.97",".282","81.8%","59","62","70","2.43","2.67","-0.25","3.11","3.29","10954"
"Charlie Morton","TBR","11.10","2.64","4.21","0.69","30.4%","7.2%","23.2%",".214","1.08",".298","75.2%","70","65","72","3.05","2.81","0.24","3.28","3.54","4676"
"Walker Buehler","LAD","10.61","1.83","5.81","0.99","29.2%","5.0%","24.2%",".221","1.04",".290","71.0%","77","67","76","3.26","3.01","0.25","3.37","3.50","19374"
"Hyun-Jin Ryu","LAD","8.03","1.18","6.79","0.84","22.5%","3.3%","19.2%",".230","1.01",".278","82.2%","54","70","75","2.32","3.10","-0.78","3.32","3.77","14444"
"Lance Lynn","TEX","10.63","2.55","4.17","0.91","28.1%","6.7%","21.4%",".241","1.22",".322","74.4%","73","66","84","3.67","3.13","0.54","3.85","3.83","2520"
"Zack Greinke","- - -","8.07","1.29","6.23","0.91","23.1%","3.7%","19.4%",".226","0.98",".271","75.7%","66","73","84","2.93","3.22","-0.29","3.74","3.96","1943"
"Stephen Strasburg","WSN","10.81","2.41","4.48","1.03","29.8%","6.7%","23.2%",".208","1.04",".274","76.5%","74","72","71","3.32","3.25","0.06","3.17","3.49","10131"
"Justin Verlander","HOU","12.11","1.70","7.14","1.45","35.4%","5.0%","30.5%",".171","0.80",".218","88.4%","57","72","70","2.58","3.27","-0.68","3.18","2.95","8700"
"Shane Bieber","CLE","10.88","1.68","6.48","1.30","30.2%","4.7%","25.5%",".229","1.05",".296","77.4%","71","74","71","3.28","3.32","-0.05","3.23","3.36","19427"
"Sonny Gray","CIN","10.52","3.49","3.01","0.87","29.0%","9.6%","19.4%",".193","1.08",".255","79.7%","62","74","82","2.87","3.42","-0.54","3.65","3.97","12768"
"Lucas Giolito","CHW","11.62","2.90","4.00","1.22","32.3%","8.1%","24.3%",".203","1.06",".273","77.7%","74","73","80","3.41","3.43","-0.02","3.66","3.57","15474"
"Mike Soroka","ATL","7.32","2.11","3.46","0.72","20.3%","5.8%","14.4%",".234","1.11",".280","79.9%","60","78","87","2.68","3.45","-0.78","3.85","4.28","18383"
"Jack Flaherty","STL","10.59","2.52","4.20","1.15","29.9%","7.1%","22.8%",".190","0.97",".242","83.3%","66","80","82","2.75","3.46","-0.71","3.64","3.68","17479"
"Zack Wheeler","NYM","8.98","2.30","3.90","1.01","23.6%","6.0%","17.5%",".253","1.26",".311","71.4%","97","80","92","3.96","3.48","0.48","4.06","4.20","10310"
"Patrick Corbin","WSN","10.60","3.12","3.40","1.07","28.5%","8.4%","20.1%",".222","1.18",".290","77.3%","73","78","81","3.25","3.49","-0.23","3.59","3.88","9323"
"Noah Syndergaard","NYM","9.20","2.28","4.04","1.09","24.5%","6.1%","18.4%",".252","1.23",".313","68.9%","105","83","86","4.28","3.60","0.68","3.83","4.02","11762"
"Kyle Hendricks","CHC","7.63","1.63","4.69","0.97","20.5%","4.4%","16.2%",".244","1.13",".287","71.8%","78","81","96","3.46","3.61","-0.15","4.26","4.38","12049"
"Luis Castillo","CIN","10.67","3.73","2.86","1.04","28.9%","10.1%","18.8%",".200","1.14",".262","76.7%","74","80","78","3.40","3.70","-0.30","3.48","3.95","15689"
"Max Fried","ATL","9.40","2.55","3.68","1.14","24.6%","6.7%","17.9%",".268","1.33",".336","74.3%","90","84","75","4.02","3.72","0.31","3.32","3.83","13743"
"Marcus Stroman","- - -","7.76","2.83","2.74","0.88","20.5%","7.5%","13.0%",".256","1.31",".307","76.1%","74","83","88","3.22","3.72","-0.50","3.99","4.41","13431"
"Jose Quintana","CHC","8.00","2.42","3.30","1.05","20.4%","6.2%","14.2%",".274","1.39",".326","65.9%","106","86","95","4.68","3.80","0.89","4.20","4.50","11423"
"Joe Musgrove","PIT","8.30","2.06","4.03","1.11","21.9%","5.4%","16.4%",".251","1.22",".299","63.2%","102","86","97","4.44","3.82","0.62","4.31","4.31","12970"
"Jose Berrios","MIN","8.76","2.29","3.82","1.17","23.2%","6.1%","17.1%",".248","1.22",".299","73.5%","80","84","94","3.68","3.85","-0.17","4.32","4.28","14168"
"Clayton Kershaw","LAD","9.54","2.07","4.61","1.41","26.8%","5.8%","21.0%",".219","1.04",".262","84.0%","71","87","79","3.03","3.86","-0.83","3.50","3.77","2036"
"Eduardo Rodriguez","BOS","9.43","3.32","2.84","1.06","24.8%","8.7%","16.1%",".251","1.33",".317","77.6%","79","86","90","3.81","3.86","-0.06","4.10","4.31","13164"
"Madison Bumgarner","SFG","8.80","1.86","4.72","1.30","24.1%","5.1%","19.0%",".241","1.13",".289","71.8%","92","92","97","3.90","3.90","0.00","4.31","4.15","5524"
"Aaron Nola","PHI","10.19","3.56","2.86","1.20","26.9%","9.4%","17.5%",".231","1.27",".295","76.8%","87","89","86","3.87","4.03","-0.16","3.82","4.14","16149"
"German Marquez","COL","9.05","1.81","5.00","1.50","24.3%","4.9%","19.4%",".256","1.20",".304","68.1%","96","87","80","4.76","4.06","0.70","3.54","3.85","15038"
"Homer Bailey","- - -","8.21","2.92","2.81","1.16","21.4%","7.6%","13.8%",".254","1.32",".301","71.2%","99","92","97","4.57","4.11","0.47","4.43","4.60","8362"
"Marco Gonzales","SEA","6.52","2.48","2.63","1.02","17.0%","6.5%","10.5%",".261","1.31",".295","69.2%","90","93","112","3.99","4.15","-0.16","5.11","5.08","15467"
"Joey Lucchesi","SDP","8.69","3.08","2.82","1.26","23.0%","8.2%","14.9%",".229","1.22",".271","73.0%","99","95","98","4.18","4.17","0.01","4.36","4.48","19320"
"Yu Darvish","CHC","11.54","2.82","4.09","1.66","31.3%","7.7%","23.7%",".211","1.10",".266","77.7%","90","94","76","3.98","4.18","-0.20","3.39","3.55","13074"
"Mike Minor","TEX","8.64","2.94","2.94","1.30","23.2%","7.9%","15.3%",".241","1.24",".287","80.3%","71","89","100","3.59","4.25","-0.66","4.60","4.51","10021"
"Jon Lester","CHC","8.65","2.73","3.17","1.36","21.6%","6.8%","14.8%",".290","1.50",".347","71.4%","101","96","98","4.46","4.26","0.20","4.35","4.49","4930"
"Masahiro Tanaka","NYY","7.37","1.98","3.73","1.38","19.6%","5.3%","14.4%",".259","1.24",".293","70.4%","97","92","94","4.45","4.27","0.18","4.29","4.46","15764"
"Miles Mikolas","STL","7.04","1.57","4.50","1.32","18.8%","4.2%","14.7%",".268","1.22",".302","73.8%","99","99","94","4.16","4.27","-0.12","4.18","4.39","9803"
"Robbie Ray","ARI","12.13","4.34","2.80","1.55","31.5%","11.2%","20.2%",".228","1.34",".305","75.1%","98","99","85","4.34","4.29","0.05","3.76","4.02","11486"
"Matthew Boyd","DET","11.56","2.43","4.76","1.89","30.2%","6.3%","23.9%",".244","1.23",".307","74.4%","98","94","85","4.56","4.32","0.24","3.88","3.61","15440"
"Trevor Bauer","- - -","10.69","3.46","3.09","1.44","27.8%","9.0%","18.8%",".227","1.25",".287","70.3%","97","95","96","4.48","4.34","0.14","4.33","4.14","12703"
"Brad Keller","KCR","6.64","3.81","1.74","0.82","17.2%","9.9%","7.3%",".244","1.35",".282","72.2%","89","97","108","4.19","4.35","-0.16","4.94","5.23","15734"
"Adam Wainwright","STL","8.02","3.36","2.39","1.15","20.5%","8.6%","11.9%",".269","1.43",".319","76.5%","100","101","99","4.19","4.36","-0.16","4.39","4.70","2233"
"Anthony DeSclafani","CIN","9.02","2.65","3.41","1.57","24.0%","7.0%","17.0%",".235","1.20",".273","77.7%","84","96","97","3.89","4.43","-0.54","4.30","4.29","13050"
"Anibal Sanchez","WSN","7.27","3.14","2.31","1.19","18.8%","8.1%","10.7%",".235","1.27",".265","74.9%","86","99","115","3.85","4.44","-0.59","5.10","5.07","3284"
"Wade Miley","HOU","7.53","3.28","2.30","1.24","19.4%","8.5%","11.0%",".251","1.34",".287","74.3%","88","99","99","3.98","4.51","-0.53","4.52","4.80","8779"
"Merrill Kelly","ARI","7.76","2.80","2.77","1.42","20.3%","7.3%","13.0%",".256","1.31",".292","73.1%","99","104","103","4.42","4.51","-0.09","4.58","4.73","11156"
"Sandy Alcantara","MIA","6.89","3.69","1.86","1.05","18.0%","9.7%","8.4%",".239","1.32",".271","73.8%","93","106","117","3.88","4.55","-0.68","5.17","5.28","18684"
"Brett Anderson","OAK","4.60","2.51","1.84","1.02","12.1%","6.6%","5.5%",".262","1.31",".278","74.8%","87","102","105","3.89","4.57","-0.69","4.79","5.17","8223"
"Jeff Samardzija","SFG","6.95","2.43","2.86","1.39","18.9%","6.6%","12.3%",".222","1.11",".240","76.9%","83","109","113","3.52","4.59","-1.06","5.02","4.92","3254"
"Martin Perez","MIN","7.35","3.65","2.01","1.25","18.3%","9.1%","9.2%",".276","1.52",".316","67.6%","111","102","103","5.12","4.66","0.46","4.69","5.01","6902"
"Julio Teheran","ATL","8.35","4.28","1.95","1.13","21.5%","11.0%","10.5%",".225","1.32",".266","76.6%","85","106","119","3.81","4.66","-0.85","5.26","5.11","6797"
"Tanner Roark","- - -","8.60","2.78","3.10","1.52","21.9%","7.1%","14.8%",".274","1.40",".322","78.1%","96","102","104","4.35","4.67","-0.31","4.64","4.57","8753"
"Rick Porcello","BOS","7.38","2.32","3.18","1.60","18.6%","5.9%","12.8%",".276","1.39",".308","65.7%","114","105","112","5.52","4.76","0.76","5.14","4.86","2717"
"Jakob Junis","KCR","8.42","2.98","2.83","1.59","21.3%","7.5%","13.7%",".274","1.43",".318","70.3%","111","107","101","5.24","4.82","0.41","4.63","4.63","13619"
"Zach Eflin","PHI","7.11","2.64","2.69","1.54","18.3%","6.8%","11.5%",".264","1.35",".291","73.9%","93","107","107","4.13","4.85","-0.72","4.76","4.86","13774"
"Dakota Hudson","STL","7.01","4.43","1.58","1.13","18.0%","11.4%","6.6%",".242","1.41",".274","78.1%","80","115","103","3.35","4.93","-1.58","4.55","5.08","19206"
"Mike Fiers","OAK","6.14","2.58","2.38","1.46","16.7%","7.0%","9.7%",".240","1.19",".254","78.5%","88","111","113","3.90","4.97","-1.07","5.19","5.19","7754"
"Ivan Nova","CHW","5.49","2.26","2.43","1.44","14.1%","5.8%","8.3%",".300","1.45",".322","72.8%","103","106","107","4.72","4.98","-0.26","4.91","5.16","1994"
"Reynaldo Lopez","CHW","8.27","3.18","2.60","1.71","20.9%","8.0%","12.9%",".276","1.46",".316","69.2%","117","107","115","5.38","5.04","0.34","5.27","4.88","16400"
"Mike Leake","- - -","5.80","1.23","4.70","1.87","15.2%","3.2%","12.0%",".284","1.29",".295","72.6%","97","118","105","4.29","5.19","-0.90","4.76","4.79","10130"
